course_id,title,platform,subscribers
tensorflow-sequences-time-series-and-prediction,"Sequences, Time Series and Prediction",c,498
supply-chain-logistics,Supply Chain Logistics,c,1417
project-execution,Project Execution,c,18
nutricion-obesidad-sobrepeso,Nutrición y obesidad: control de sobrepeso,c,1523
microeconomics,Microeconomics Principles,c,375
craft-of-plot,Creative Writing: The Craft of Plot,c,1048
astro,Astronomy: Exploring Time and Space,c,790
oilandgas,Oil & Gas Industry Operations and Markets,c,1120
uva-darden-design-thinking-innovation,Design Thinking for Innovation,c,1823
becoming-a-veterinarian,EDIVET: Do you have what it takes to be a veterinarian?,c,392
learn-to-program,Learn to Program: The Fundamentals,c,1347
uva-darden-financial-accounting,Financial Accounting Fundamentals,c,413
finding-purpose-and-meaning-in-life,Finding Purpose and Meaning In Life: Living for What Matters Most,c,293
clinical-research,Understanding Clinical Research: Behind the Statistics,c,630
epidemiology,Epidemiology: The Basic Science of Public Health,c,845
fashion-design,Fashion as Design,c,529
teamwork-skills-effective-communication,Teamwork Skills: Communicating Effectively in Groups,c,596
feminism-social-justice,Feminism and Social Justice,c,779
international-organizations-management,International Organizations Management,c,282
estrategia-marketing-digital,Marketing Digital,c,431
gis,Fundamentals of GIS,c,1198
elearning,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,c,83
excel-vba-for-creative-problem-solving-part-1,"Excel/VBA for Creative Problem Solving, Part 1",c,730
international-taxation,Rethinking International Tax Law,c,213
probability-intro,Introduction to Probability and Data with R,c,1014
understanding-visualization-data,Understanding and Visualizing Data with Python,c,308
data-visualization-tableau,Fundamentals of Visualization with Tableau,c,955
sas-programming-basics,Getting Started with SAS Programming,c,318
uol-machine-learning-for-all,Machine Learning for All,c,583
python-databases,Using Databases with Python,c,2683
addiction-treatment,Addiction Treatment: Clinical Skills for Healthcare Providers,c,133
dino101,Dino 101: Dinosaur Paleobiology,c,745
sports-marketing,Sports Marketing,c,216
positive-psychology,Positive Psychology,c,907
matlab,Introduction to Programming with MATLAB,c,3120
managing-human-resources,Preparing to Manage Human Resources,c,1468
solar-energy-basics,Solar Energy Basics,c,409
bootstrap-4,Front-End Web UI Frameworks and Tools: Bootstrap 4,c,1645
google-cloud-java-spring,Building Scalable Java Microservices with Spring Boot and Spring Cloud,c,193
forensic-science,Introduction to Forensic Science,c,344
google-cloud-product-fundamentals,Google Cloud Product Fundamentals,c,92
contracts-1,American Contract Law I,c,102
engineering-health-yoga-physiology,Engineering Health: Introduction to Yoga and Physiology,c,77
ai-for-medical-diagnosis,AI for Medical Diagnosis,c,257
sequence-models-in-nlp,Natural Language Processing with Sequence Models,c,61
electronics,Introduction to Electronics,c,359
international-humanitarian-law,International Humanitarian Law in Theory and Practice,c,191
making-architecture,Making Architecture,c,232
model-thinking,Model Thinking,c,382
dyslexia-difficulties,Supporting children with difficulties in reading and writing,c,368
innovation-management,Innovation Management,c,316
people-management,The Manager's Toolkit: A Practical Guide to Managing People at Work,c,512
modern-world,"The Modern World, Part One: Global History from 1760 to 1910",c,514
supply-chain-principles,Supply Chain Principles,c,331
gcp-infrastructure-core-services,Essential Google Cloud Infrastructure: Core Services,c,754
weight-management-beyond-balancing-calories,Weight Management: Beyond Balancing Calories,c,188
human-language,Miracles of Human Language: An Introduction to Linguistics,c,483
java-programming,Java Programming: Solving Problems with Software,c,1122
race-cultural-diversity-american-life,Race and Cultural Diversity in American Life and History,c,98
motivate-people-teams,Inspiring and Motivating Individuals,c,782
competencias-digitales-ofimatica,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",c,1110
healing-with-the-arts,Healing with the Arts,c,226
wharton-people-analytics,People Analytics,c,892
what-is-social,What is Social?,c,889
ux-design-fundamentals,UX Design Fundamentals,c,249
creative-thinking-techniques-and-tools-for-success,Creative Thinking: Techniques and Tools for Success,c,663
introclassicalmusic,Introduction to Classical Music,c,792
childrens-rights,Children's Human Rights - An Interdisciplinary Introduction,c,336
investment-management,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,c,127
excel-data-analysis,Introduction to Data Analysis Using Excel,c,1542
manage-health-covid-19,Mind Control: Managing Your Mental Health During COVID-19,c,1499
international-criminal-law,Introduction to International Criminal Law,c,602
wharton-fintech-overview-payments-regulations,"FinTech: Foundations, Payments, and Regulations",c,270
mythology,Greek and Roman Mythology,c,437
global-energy,Politics and Economics of International Energy,c,318
uva-darden-continous-delivery-devops,Continuous Delivery & DevOps,c,237
english-principles,Teach English Now! Foundational Principles,c,2678
business-model,Business Model Innovation,c,83
introtoux-principles-and-processes,Introduction to User Experience Principles and Processes,c,191
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,c,58
process-mining,Process Mining: Data science in Action,c,200
immunologyfundamentalsimmunitybcells,Fundamentals of Immunology: Innate Immunity and B-Cell Function,c,203
wharton-finance,Introduction to Corporate Finance,c,819
global-diplomacy-un,Global Diplomacy: the United Nations in the World,c,290
algorithmic-toolbox,Algorithmic Toolbox,c,1912
